Grantha,Commentry_Name,Author_Name,Image_Name
Sumadhwa Vijaya,"सुमध्वविजयः","Narayana Panditacharya",narayana.jpg
Sumadhwa Vijaya,"भावप्रकाशिका","Narayana Panditacharya",narayana.jpg
Sumadhwa Vijaya,"पदार्थदीपिकोद्बोधिका","Vittala Diksita",vittala.jpg
Sumadhwa Vijaya,"मन्दोपाकारिणी","Chalari Seshacharyaru",chalari.jpg
Sumadhwa Vijaya,"वैय्यक्तिकटिप्पणि","Personal Notes",
Sumadhwa Vijaya,"वैय्यक्तिकटिप्पणि - सम्स्क्रुत​ (AI Powered)","AI - Sanskrit",
Sumadhwa Vijaya,"वैय्यक्तिकटिप्पणि - कन्नड (AI Powered)","AI - Kannada",
Sumadhwa Vijaya,"वैय्यक्तिकटिप्पणि - आग्ला​ (AI Powered)","AI - English",
